Expression Label,tweets
negative,Энэ С.Эрдэнэ жэнко гээд л орилоод байсан. Яс юман дээр хүүкд төмсгөө базуулцан юм биш үү
negative,"Яг үнэндээ С.Эрдэнэ У.Хүрэлсүхийн хувьд бодитой өрсөлдөгч бишш.Гэнэт гайхамшиг тохиодгүйл юм бол Эрдэнэ ялах шаанс бхгүй.Тиймээс МАН лав Эрдэнийг муулах, фб дээр илт азаартах жижиг зүйл хийх шаардлага бхгүй. Пакистан зүрх Эрдэнэ өөрөө эсвэл МАН-ыг харлуулах гэсэн ядмаг арга."
neutral,"@Dandag_5004 Хэн ч бж болно. Лав МАН биш. Эрдэнэ даргын хүү МаН гээд сэвээд бгаагаас харвал АН-ын пиар ажил ч бх магадлалтай. Нэгээр яваа хүнтэй сөргөлдөж анхаарал татах, дуэлд дуудах гд тогтсон технологи"
negative,"С.Эрдэнэ 2018.12.03-нд Намын шийдвэр дагаагүй Ж.Батзанданг намаасаа ""хөөж"", Л.Болдын АН-аас нэр дэвших эрхийг хассан. Одоо Элчингүүд!!!! МАНаас хасагдсан Анандбазар яах л бол доо!!! Хүк Ерөнхийлөгч болчихоод Элчингээр томилчихвол гайхахгүй😂"
negative,Д.Энхбат юуын гэхээс С.Эрдэнэ лав бишшшээээ 🤣😂 https://t.co/LBmsy45IAK
positive,@enkhjin2011 Мэдэхгүй. С.Эрдэнэ л өөрөө ойлгох фантаазных нь нам :)
positive,@110Orgio @batengineer Эрдэнэ харин Дашням гуайн оронд байж магадгүй бишүү..кк
positive,"@Tugs2009 @Enkhbayar_bat ЭТ-ийнхэн уг нь дүнгээ тавиад явуулцын, хуульд одоо л нэг гэгээ орох нь гэтэл порчикоор орж ирээд суучдаг, залуус нь ч за одоо та явдаа гэх хоншоор дутахын, Эрдэнэ л хэлцэн болохоос бүгл нөгөөхөө базуулаатай."
negative,Л.Оюун-Эрдэнэ: Монгол Улсад эрүүдэн шүүсэн хэрэг дахиад хэзээ ч гарах ёсгүй  https://t.co/oyj3XzOPgS https://t.co/xnFZVDZO4t
negative,"@bayarkuu Хүрэлсүх, Эрдэнэ, Энхбат 3 л лав зайлуулж чадахгүй..."
positive,@ebmbe @bayarkuu Эрдэнэ арчаал гарах биз
positive,@u_zorig @ebmbe @bayarkuu Уг нь явж явж хамгийн зөв сонголт нь уг нь Эрдэнэ.
neutral,"Л.Оюун-Эрдэнэ: Шүүхийн алдаа завхрал, шүүх, хууль хяналтынхны зүгээс улстөрчид, уул уурхайнхантай хэт хэлхэлдсэн өнгөрсөн арав орчим жилийн ялзралын дээд цэг нь Т.Чимгээ, Б.Содномдаржаа нарын асуудлаар шийдэгдэж, ёроолдоо унаж байна уу даа гэж харж байна 
https://t.co/oyj3XzOPgS https://t.co/8ZricUlT5K"
positive,"@110Orgio @enkhbat Би бол ямар ч бичлэг гарч ирсэн Д.Энхбат бол яг энэ удаагийн “ийм” нөхцөл байдалд болж буй сонгуульд С.Эрдэнэ, У.Хүрэлсүх нараас “дээр” сонголт бна гэж хувьдаа бодож бгаа. Тийм болохоор л ийм эрт ийм итгэлтэйгээр сонголтоо зарлаад бгаа :)"
negative,Л.Оюун-Эрдэнэ: Монгол Улсад эрүүдэн шүүсэн хэрэг дахиад хэзээ ч гарах ёсгүй https://t.co/omQVXdTiHV
negative,"ТОДРУУЛГА: Нэр дэвшигч С.Эрдэнэ рүү залгаагүй, би биш https://t.co/oYzurkzegq"
negative,"сонгуультай холбогдуулж С.Эрдэнэ даргыгаа жоохон долоох гэсэн алголчхымаа. МАНгарууд мангар нягт байхад мАНай хэд гэж талаар нэг тарж элдэв хүн дэмжинэ гэцэн шааж явхы,  хэзээ ч дахиж засаг барих тавилангүй юм уу, хаашаин. Тэр цагаан хуудас бол жонхууг дахиж амилуулах арга шүү"
negative,Л.Оюун-Эрдэнэ: “Эрдэнэт үйлдвэр” турж үхэх гэж байгаа саалийн үнээ биш https://t.co/RfFMV0AQuO https://t.co/4XXy3JZvpd
positive,Бат-Эрдэнэ аварга Дуучин ая зохиогч Ангирмаа нар... https://t.co/bFMXr0nID5
negative,Л.Оюун-Эрдэнэ: Монгол Улсад хүнийг эрүүдэн шүүсэн хэрэг дахиад хэзээ ч бүү тохиолдоосой https://t.co/XV6KVNAKF9
negative,"Эрдэнэ хүнд дарамтлуулах хүн мөн үү❗️❗️❗️
Өөрөө өөрийгөө л дарамтлах хүн мөн❗️❗️❗️ https://t.co/2Xrj7bzQcb"
negative,"@orkhoo_tm Аръяабал гэдэг нь Жанрайсаг бурханы санскрит нэр бөгөөд монголоор Чандмань эрдэнэ, лянхуа цэцэг баригч гэх, төвдөөр Жанрэзиг гэх агаад мэлмийгээр болгоогч хэмээнэ."
negative,"@mglzoe Аръяабал гэдэг нь Жанрайсаг бурханы санскрит нэр бөгөөд монголоор Чандмань эрдэнэ, лянхуа цэцэг баригч гэх, төвдөөр Жанрэзиг гэх агаад мэлмийгээр болгоогч хэмээнэ."
negative,@Battulga_munkh Хаха. Еөк рүү хэн чирэх нь үү гээл харж бла. Сүртэй юм болоогүйн бнлэ. Хдн согтуу гарууд л. Эрдэнэ харин ашиглаж өөрийгөө сэвүүлэх санаатай бсан бх
negative,"“Хаврын толгод дунд ингэ гунганаж
Зээр зэрэглээ сүвлэн цахилсан энэ замд
Тал санаашрал намрын тэнгэр уйлагнаж
Тогоруу буцсан энэ замд 
Тавилан заяаны харгуй дагаж
... Салаа гэзэгтэй охин амраг болон учирч
Үрийн баяр хотолж үүрд хамт алхана цугтаа...” 📖🖋

~Арлааны Эрдэнэ-Очир 📚 https://t.co/SlVJWddzSL"
positive,"LIVE: Башёг ганцаараа тэргүүлж буй Тэрүнофүжи Г.Ган-Эрдэнэ өнөөдөр Секиваке Таканошотой учраа таарчээ. 
Манай бөхчүүдийн өнөөдрийн оноолтын мэдээлэл болон таван зиндаанд барилдаж буй монгол бөхчүүдийн даваа, унааны дэлгэрэнгүй мэдээлэл https://t.co/t0duSAXxuv. https://t.co/xnT5jU3mq1"
positive,"@khulan9009 @TsogBadrakhhh @BattulgaKh Болд Эрдэнэ, Ялалт, Ариунбямба нар яахын аргагүй өнөө цагийг өнгөлж яваа жүжигчид. Бүгд авах байхаа."
negative,@BayasaaI улстөрд байгаа бол Оюу-Эрдэнэ Хүрэлсүх 2 байх.За бусад гэвэл наро билүү 1 лам
negative,"@erdenetello Ихэнхи шалтгаан нь Хүрэлсүх, Эрдэнэ ? Монголчууд сайн дэмжиж чаддагүй харин сайн үзэн ядаж чаддаг юм боловуу"
positive,"Хэсэг хүнтэй уулзлаа ярилаа тандалт хийлээ. Хүүк 60, Эрдэнэ 15, Энхбат 15, цагаан 10 юм байна"
positive,"Сайхан өглөө болох нь дээ, гэвч ижий минь яаж байгаа бол
Салхи тогтуухан байна даа, гэвч үдээс хойш яах бол
Саруулхан орчлон билээ дээ, үүл нь хаашаа нүүх бол
Санамсаргүйн хорвоо шүү дээ, амьдрал яаж эргэх бол...

ҮҮР ЦАЙХЫН ШҮЛЭГ

Арлааны Эрдэнэ-Очир"
positive,"ЕС Оюун-эрдэнэ: 
УБ шилжин ирэгсдээс татвар авна! 
Татвар төсөв бүрдүүлнэ, 
Төсөв эзэнгүй дураар идэж устгах схан мөнгө
УБыг марттал нь орон нутгийг хөгжүүл! 
ЕС Оюун-эрдэнэ анхаар!"
positive,@BatnerenK С. Эрдэнийн санаачилж батлуулсан Ажилласан жил нөхөн тооцох хуульд гэхэд 700 гаруй мянган хүн хамрагдсан гэсэн үхэхдээ хүртэл түүний хуулийн буянаар оршуулгын зардал авах юм бишүү хүний ач тусыг хариулдаг газар бол Эрдэнэ шууд гарна манай МАНкуртууд тэгэхгүй л дээ
neutral,@bayarkuu Содномзундуйн Эрдэнэ ✋
positive,"@MGL_nomadic ...Ээж минь анх сүүгээр чулууг нь зөөллөж
Эцэг минь өргөсийг нь түүсэн цэцэгт зам
Миний зам
Сүүлчийн ганц дэлхий цагийн хязгааргүйд уусахад ч
Сүү татуулан гэрэлтэх тодын тод зам
Энэ миний хувьхан заяаны замаа...

Болор цомын эзэн, 
яруу найрагч А. Эрдэнэ-Очир https://t.co/S25p8I0uM3"
negative,"Хүүк бол хүмүүнлэг иргэний нийгэмд ерөнхийлөгч байхад таарахгүй хүн, дипломатч бол бүр биш
Эрдэнэ бол хөгшин хулигаан
Энхбат бол ухаалаг үг л хэлдэг их сургуулийн профессор байхад л таарсан хүн"
neutral,"Өнгөрсөн хугацаанд АН-ынхан бас Монголд байтугай, дэлхийд ч болж байгаагүй сонин юм үзүүлж байна. АН-ыг УИХ-ын сонгуульд навс ялагдуулсан С.Эрдэнэ даргаа АН Ерөнхийлөгчийн сонгуульд нэр дэвшүүлж дэлхийн чихийг дэлдийлгэлээ."
negative,"2017 онд: ""С.Эрдэнэ, З.Энхболд нар АН-ыг ээлжлэн өмчлөөд 10 гаран жил болно"" гэж намайг Ванга шиг хэлж байхад хүмүүс тоогоогүй л дээ 😊"
neutral,"Тэгээд ичсэн нэрэндээ өөрийн оронд С.Эрдэнийг нэр дэвшүүлэх санаагаа маш нарийн, алсын бодолтой гүйцэлдүүлсэн байгаа юм. Зи, Эрдэнэ хоёрын явуулгад АН-ынхан араараа тавиулчихаад дэмий л МАН-ыг муулж сууна."
positive,"ЖАН талын бүх үйл ажиллагаа АН-ын дүрмийг зөрчсөн, С.Эрдэнэ нар ЖАН-ын намын дүрэм зөрчсөн үйл ажиллагааг таслан зогсоосон нь цаашдаа АН-ын үйл ажиллагааг зөв замд оруулах сайн талтай."
negative,"Харин намаа сонгуульд ялагдуулсан С.Эрдэнэ дарга нэр цэвэр Р.Амаржаргал, Ц.Оюунгэрэл нарт боломж олгохын оронд өөрөө Ерөнхийлөгчид нэр дэвшсэн нь буруу гэж АН-ын жирийн гишүүд шүүмжлэн буруушаасаар байна."
negative,"@erdenetello Эрдэнэ, Хүүк 2т саналаа өгөлтэй нь биш дээ"
negative,@GGanErdene Тэгээд Хүрэлсүх Эрдэнэ хоёрыгоо л сонго л доо. Чиний л томруулсан хувилбар ш дээ!
negative,"Энхбатыг хүмүүсийн хэлснээр их муу хүн гэдэгт итгэжийнаа. Бүүр ерөнхийлөгч байхад тохиромжгүй этгээд мөн байх. Үүнээс ч муу хүн байж магадгүй. Гэхдээ Хүүк, Эрдэнэ 2-той дүйцэж доошоо ортлоо 1000 жил."
negative,Хүүкийг гарна л гээд бдаг эхний шатанд Эрдэнэ мултраад 2 шатанд ан-ын санал Энхбатад очиход байдал эвгүйтэж бгаам даа гс гэнэт сонгууль бодогдоод 😆
neutral,"@BatmunkhIT Хаха. Энхбат, Эрдэнэ 2-ыг муулсныг нь сийндчихээд энэ хүн дээр л өрөвдмөөр байгаа биз?🤣🤣🤣"
positive,@GGanErdene Сайн мууг нь мэдэх юм алга тэгэхдээ хүрэлсүх эрдэнэ гэсэн эргүү ацнуудаас дээр гэж бодож бна
positive,"Эрдэнийн хүүгийн л хийсэн хэрэг биш үү. Энхбатыг магтан матангуутаа МАНруу заагаад, Хүүкийн пост дээр Пакистанчуудаар зүрх даруулангуутаа МАНруу заагаад ккк Хаа очиж Эрдэнэ даргад ахадсан сэргэлэн элдэвтэй хүү шиг байгаа юм даа 👍 https://t.co/q4NkBZIUZy https://t.co/O4Mqrp9qFk"
negative,"АН-ыг Элбэгдорж, Зи, Эрдэнэ, МҮДН дампууруулсан гэдгээ бол мэдэж байгаа л даа https://t.co/hruGIqXtqY"
negative,"Хүрэлсүх: Би чинь муу ч гэсэн хурандаа хүн ш тээ.
Эрдэнэ: Та нар бүгдээрээ гөлөг болно за юу
Энхбат: Удирдагчид бүү найд

Яг яах ч ёстой юм одоо."
positive,"Эрдэнэ, Хүүк 2-с дээр болохоор https://t.co/1CqrLF27iD"
positive,@bayarkuu @ganga_bayar Эрдэнэ л бна даа
positive,Бат-эрдэнэ аварга Дуучин Ангирмаагийн хамт 2000он 😂 https://t.co/8CeCoTztm6
negative,"Энхбат ярьдаг юу хийсийм гээд байгаа хүмүүсээс асууя

Хүрэлсүх юу хийсэн юм? 

Эрдэнэ юу хийсэн юм?"
negative,"""Элит vs Ардын хүү"" гэдэг юм болоод байгаа юм аа даа.

Энэ дундаас Эрдэнэ гуай сугарч гарах нь ээ бараг. За хэн мэдхэв, харж л сууя."
negative,"@bayaraashuu Харин намаа сонгуульд ялагдуулсан С.Эрдэнэ дарга нэр цэвэр Р.Амаржаргал, Ц.Оюунгэрэл нарт боломж олгохын оронд өөрөө Ерөнхийлөгчид нэр дэвшсэн нь буруу гэж АН-ын жирийн гишүүд шүүмжлэн буруушаасаар байна."
negative,"🔹️Ерөнхийлөгчийн дэргэд ажилласан фоточид: 
Очирбат - Цацралт, Батзориг
Багабанди - Батжаргал, Цэрэнжамц, Тошка
Энхбаяр- Онон, Бат-Эрдэнэ
Элбэгдорж - Элбэгзаяа
Баттулга - Отгонжаргал нар ажиллажээ"
positive,"@BatmunkhIT Хүрэлсүх, Эрдэнэ нарыг сайн юм хийснийг санахгүй бна. Харин улсаас сайн идсэн бх. Тэр 2ыг сонговол баталгаатай алдана, Энхбат гуайг сонговол алдаж ч оноч ч магадгүй лав л баталгаатай алдахгүй"
negative,Эрдэнэ гээд нэр дэвшигчийг өрөвдчихлөө хөөрхийг хэн ч ярьку юм 😂
positive,@GGanErdene Ган-Эрдэнэ ээ - Алтанхуяг гишүүнийг дэмжээд шатаад байгааг чинь харж байна. Үерхэлдээ үнэнч байгааг чинь ч үнэлж байна. Гэхдээ Идрээ @Iderodcomedian ч Энхбат доктор @enkhbat ч хоёулаа хийсэн бүтээсэн бодит ажилтай хүмүүс. Цаашдаа ч улам ихийг хийнэ гэж харж байна.
neutral,"Тэгвэл У.Хүрэлсүх чинь Асашориугийн сульдаасан хувилбар ба С.Эрдэнэ чинь н.Амгаланбаатарын хүмүүжсэн хувилбар, Н.Алтанхуяг нь н.Галсантогтох гуайн авъяасгүй хувилбар, С.Ганбаатар нь н.Осоржамаагийн гонжоомтой хувилбар гэж болох нь ээ? https://t.co/PtG6kxs4V5"
negative,"@bayarkuu @ob2133 Эсрэгээрээ С.Эрдэнэ нь Хүүкийн саналаас хуваах байх даа. Архангай, Сүхбаатар, УБ г.м"
positive,"Өглөөний мэнд... 

Эрхэл #нуурын хөвөөнөө...😀
/Хөвсгөл. Алаг-эрдэнэ сум/ https://t.co/nnQ9J2h99Y"
neutral,@hurganbantan Хүрэлсүх ялах нь бараг тодорхой байна. Эрдэнэ юу ч болохгүй юм байна. Тэгэхээр хамгийн бага зардлаар буюу цагаан хуудсаар сонгуулийг дахиулмаар байна
negative,"@trast2021 Нууцууд бус гишүүдийн эхнэр хүүхдүүд ичдэг нийгмийг бүтээсээр л. Гэр бүлийн хуулиа шинэчлэн найруулж батлах гэж 10 өнгөрлөө. Үр дүнд нь Мунаг Мурат, Бандааш, Нялх амрагтай сахал хочит Бат Эрдэнэ, Чалх сайт Анандбазар араас нь ахиад л нэг гишүүн.АЛЬ Ч НАМ ХУУЛИЙГ ХОЙШЛУУЛСААР Л.."
positive,Олон жил гацсан нүүрсний төмөр замыг ирэх оны долдугаар сард ашиглалтад оруулахаар төлөвлөж байгаа талаар Ерөнхий сайд Л.Оюун-Эрдэнэ Өмнөговь аймагт айлчлах үеэр ярьсныг Засгийн газрын хэвлэлийн албан мэдээнд онцолжээ. https://t.co/n5LGScljzA
positive,"@BatjavTs Нууц амрагууд бус гишүүдийн эхнэр хүүхдүүд ичдэг нийгмийг бүтээсээр л Гэр бүлийн хуулиа шинэчлэн найруулж батлах гэж 10 жл өнгөрлөөҮр дүнд нь Мунаг Мурат, Бандааш, Нялх амрагтай сахал хочит Бат Эрдэнэ, Чалх сайт Анандбазар араас нь ахиад л нэг гишүүн.АЛЬ Ч НАМ ХУУЛИЙГ ХОЙШЛСР Л."
negative,"Энхбат Еөк болчихвол эрх баригч намын эсрэг зогсож чадахгүй сул, Эрдэнэ нь дээр ч гэх шиг. Энхбатыг сул гэж яаж урьдчилж мэдээд бнаа. 😜 Боловсролтой хүн болохоороо сул хүн гээд бгам уу. 😬"
negative,Энхбат Эрдэнэ Хүүк гурвын алийг нь дэмждэг юм билээдээ
negative,Манай нөгөө боловсролтой хэсэг Эрдэнэ дээр ангри дардаг Хүрэлсүх дээр зүрх дарсан яг 100 хаяг байнаа.Зохион байгуулалттай л ингэж харлуулах гэж ашиглаждээ гээд 3 хоног хэлэхэд ойлгохгүйгээр үл барам бүр ингээд нэмээд давслаад яваад бгаа юмдаа.Элит байсны хэрэг бнуу?😂😂😂 https://t.co/fM6HzNAe0I https://t.co/MZH7oEnne2
negative,"Хүссэн хүсээгүй олонхи нь дэмжиж, сонгох учир одооноос Хүкийг би муулаад ямар нэмэр байх вэ. Хүч тэнцвэргүй л тулаан шүү дээ. Эрдэнэ сул, Энхбатын хүрээ бага юм. Одооноос нэр дэвшигчидтэй холбоотой элдэв дэмий жиргээ хийхгүй ээ."
negative,"Улстөржилт, талцал зэргээс болж 12 жил ТЗ тавьж чадаагүй. Энэ хэрээр их хэмжээний орлого, боломжоо алдсан. Цаашид ийм байдал давтагдах ёсгүй” гэж ЕС Л.Оюун-Эрдэнэ хэлсэн. Ерөнхий сайдын хэлсэн үнэн. Улстөржүүлсэн гол хүн нь Ерөнхийлөгч Х.Баттулга байлаа. https://t.co/CoYKR5OQvy"
negative,"За дээрээс нь зоригтой дайчин удирдагч чанар байхгүй, байсан ч ганцаардах байхгүй юу. Одоогийн байдлаар олон хүн шалтгаангүй үзэн ядаж, гадуурхсан ч үнэт зүйлээ худалдаагүй үзэлцэж байгаа хүн С.Эрдэнэ л байна.Миний хувьд нам бус, элдэв мөнгө авсан юм байхгүй,тийм юм үзээчгүй."
positive,"Л.Оюун-Эрдэнэ: Дотооддоо газрын тосоо боловсруулан, төмрийн хүдрээ баяжуулж, алтаа цэвэршүүлнэ https://t.co/hdKeWFmfOL via @zindaamnd"
negative,"@tuya_ba Нууц амрагууд бус гишүүдийн эхнэр хүүхдүүд нь ичдэг нийгмийг бүтээсээр л ГБтХуулиа шинэчлэн найруулж батлах гэж 10 жил өнгөрлөө. Үр дүнд нь Мунаг Мурат, Бандааш, Нялх амрагтай сахал хочит Бат Эрдэнэ, Чалх сайт Анандбазар араас нь ахиад л нэг ГИШҮҮН  АЛЬ Ч НАМ ХУУЛ-Г ХОЙШЛУУЛСР Л"
negative,"Үдээс хойш арван хэдэн хүнтэй уулзаад Энхбат, Эрдэнэ нарыг яагаад сонгож болохгүй вэ гэдгийг биш Хүүкийг яагаад сонгох ёстойг ярьж өгөөд манай талд оруулчихаад ирэе заюу 😁😝 та хэд маань битгий уурлаарай 🥴"
neutral,"@sogoomn Форум, Хан академи, интернэт, Монгол хэлний википедиа ... гээд зөндөө л. Гол онцлох юм нь ямар ч ""эрх мэдэлгүй"" бхдаа, өөрийн хүсэл, зориг манлайллаараа хийсэн. Харин одоо Хүүк, Эрдэнэ нар ямар ч эрх мэдэлгүй үедээ юу хийж байв? гэдэг асуулт."
negative,"Л.Оюун-Эрдэнэ: Монголын шүүх дарга, энгийн иргэн хоёрт өөр ханддаггүй байгаасай https://t.co/Q7isx6BVhp"
positive,"LIVE: Нацу башёгийн найм дахь өдрийн барилдааныг шууд дамжуулан үзүүлж байна https://t.co/teSvedpy16.  
Өнөөдөр качикоши хийх боломжтой цорын ганц бөх болох Озеки Тэрүнофүжи Г.Ган-Эрдэнэ Комүсүби Дайейшотой учраа таарчээ. https://t.co/6z04cN4TD9"
neutral,"Дээхнэ Молор Эрдэнэ аль ч улсыг оюунлаг, сэхээтэн хэсэг чирж явдаг, манайд байхгүй болсон гэж хатуухан хэлж билээ. Миний бодлоор манайд эрдэмтэй, оюунлаг хүмүүс алга болоогүй, харин ч нэмэгдсэн. Гол нь жинхэнэ, хуурамчаа ялгаж мэдэггүй, ашиглаж чадаггүй.
 https://t.co/pu0yvF8AJB"
negative,"@margadism Хүүк, Эрдэнэ шиг мафиоз биш болохоор болохгүй гэж үү? Боловсрол хамаагүй гэсэн үг үү 🙄"
negative,@asanu11 Ган-Эрдэнэ бил үү
negative,ҮХ-н манаач Ламжав:”Дараагийн хүн албан ёсоор сонгогдтол өмнөх нь бх ҮХ-н тасралтгүйн зарчимтай.ҮХЦ-н гишүүний хугацаа дуусмагц огцроод бдаг бол ҮХ манаачгүй болох бла”гэснээрээ АН-н дараагийн дарга ДШ-д бүртгэгдэх хүртэл С.Эрдэнэ төлөөлөх ёстойг баталжээ. https://t.co/rrQqqj5iS2
negative,@orgikhbayaru Ган-Эрдэнэ давсан уу?
negative,"Энийг хийсэн хүмүүс МАН дотор, бүүр Хүрэлсүхийн пиарын багт бгаа гэдэгт бат итгэж бн. Тэд нэр дэвшигч рүүгээ хүн бусаар дайрсан муухай нэрийг өрсөлдөгчид нь наах оролдлого хийсэн бн гэж харж бн. Эрдэнэ муу хөөн. Гэхдээ хэзээ ч ингэж тэнэгтэхгүй. Энхбат гуайн дэмжигчид огт ийм биш https://t.co/qDXV4OEy8G"
positive,"@Khanda_dayo Аан за .Тэрүнофүжи нь Ган-Эрдэнэ юм бна.
Аригато😄"
positive,"Амлалтаа биелүүлдэг, хэлсэндээ хүрдэг хүн та ховор эрдэнэ юм уу..."
neutral,Хүрэлсүхийг дэмжиж ажиллаж буй хүмүүс худлаагаасаа @serdenemn ыг дэмжиж буй дүр үзүүлж байгаа юм байна даа. Тэдний нэг нь @m_zorigt юм байна. Битгий хууртаарай. Эрдэнэ 10 хувьтай байна. Яагаад ч ялахгүй. @tvdaria @Otgochuluu @erintulgatmn Цагаан сонголт л зөв !! https://t.co/eObA6Sx9d0
neutral,@margadism Хүрэлсүх Эрдэнэ 2 шиг зоригтой дайраал бху. Юу ч хамаагүй хүчээр шийддэг нийгэм үүсчээд байгааг ажиглаж сураарай.
neutral,@margadism Хүрэлсүх шиг улаан хамгаалгч болоод хүчээр дайрах. Уу. Эрдэнэ шиг алишүү гээл дайраад байхуу. Сүгсэлзээл байвал эр зоригуу. Тэр зоригоор тоглоои тоглохуу. Олон улсын. Ухаан мэдлэг боловсрол хэрэгтэ бхаа. Арай ч дээ. Чи ийм бхад бусад нь ойлгомжтой. Төдийгөөс өдий хүртэл хөрж бхад
positive,"Л.Оюун-Эрдэнэ: Дотооддоо газрын тосоо боловсруулан, төмрийн хүдрээ баяжуулж, алтаа цэвэршүүлнэ https://t.co/4AxP16iyhJ via @zindaamnd"
negative,Одоо бол сонгуулиар элдэв балай юм хийж хар пиардаад явахгүй болсныг Ээбийг хужаа гэж хусаад унаж бсныг санаж бгаа биздээ!? Эрдэнэ ч юмуу Энхбат тийм юм хийхгүй! Харин Мангарууд бол яаж ч мангартаж мэднэ! Өөрсдөө л буруутанадаа!
negative,@Kheneejingoo Хүнийхээ хувьд Эрдэнэ ч Энхбат ч сул биш Дэмжигчид нь л туйлбаргүй Хүүгийн дэмжигчид маш туйлбартай хаашаа ч хамхуул шиг хийсэхгүй!
negative,"Х.Баттулга, С.Эрдэнэ гэж хоёр яах вэ? Аль нэг нь ялвал амь дүйх юм шүү гэж хоёр талд холхилдох хомхой бэртэгчид ичиг ичиг. Ардчилал бол сонголт болохоос ацан шалаанд амь дүйхийн нэр биш юм аа."
negative,@margadism ийм зүйл хийж суудаг хүрэлсүхийн сонгуулийн багийнханд хатуу хариуцлага тооцох хэрэгтэй.Эрдэнэ эдр бол хэдий айхтар хүн ч гэсэн ийм зүйлийг хэрхэвч зөвшөөрөхгүй.Харин ХҮН-хэн бол хэзээ ч ийм зүйл хийхгүй.Тийм ухамсар ч байхгүй.
positive,"Монголын 4-н аваргын 3 нь зодог тайлсан 1 нь олимпийн дараа зодог тайлна.
Аваргын халаа тасрах дөхсөн энэ цаг үед дараагийн аварга болох өндөр магадлалтай бөх бол хүчит Озэки Тэрүнофүжи Г.Ган-Эрдэнэ юм. 

Тэрээр 5-н сарын НАЦҮ башёг 8-0 гэсэн амжилтаар ганцаараа түргүүлж явна. https://t.co/IHuWqScnSU"
negative,"@batengineer @serdenemn энхбат аль аль бишээ Монголд ганцхан фашист хүн байгаа, эрдэнэ гуайг хүртэл алах тухай хэлсэн.
Монголд цус гаргахыг хүсээд байдаг цөөхөн хэд л хүн бий"
negative,Амгаланбаатар Чимгээ Содномдаржаа нарыг яллахад эрүүдэн шүүж олж авсан гэх ганц ч баримт ашиглаагүйг Эрдэнэбат прокурор хэлсэн. Эрүүдэн шүүсэн эсэх нь Зоригын аллагад хамааралгүй тусдаа асуудал. Нямдорж Оюун-Эрдэнэ Нямбаатар нар эрх мэдэлдээ дулдуйдан чичирч байна даа.
negative,"@TovuuBold Эрдэнэ жонкууг гацаасан гавьяатай бх, гэхдээ еөк болж чадахгүй л дээ, эртхэн нэрээ татаад энхбатыг дэмжвэл таарна,"
positive,"Хүүе ээ, энэ Оюун-Эрдэнэ чинь Зөв хүн Электорат эвсэл -д элсчихсэн юм уу? https://t.co/7aJFRdHOh5"
positive,"Уриа
Хүрэлсүхийх хүчирхэг зоригтой ерөнхийлөгч гэсэн утгатай байх болуу

Энхбатых ухаалаг боловсролтой ерөнхийлөгч байх болуу

Эрдэнэ энэ гарых юу ч байсан яахвээ дээ хамгийн бага санал авах хойно"
negative,@TovuuBold Тийм учираас Эрдэнэ дэвших эрхтэй.
neutral,"Хэрэлддэг нь С.Эрдэнэ
Хийдэг нь Н.Алтанхуяг
Хэлдэг нь Д.Энхбат.

Даанч энд Н.Алтанхуягийн зураг энд алга. https://t.co/0Xf49CAaZe"
neutral,@z_erdenesaikhan Эрдэнэ өөрөө авч байгаа. Санаа зоволтгүй.
neutral,"УИХ-н гишүүн Т.Доржханд.
Шог зураач А.Бат-Эрдэнэ.Харх гэдэг зураг. Сонгуулиа гэж 🤪 https://t.co/8aRS4YyZB9"
negative,"Хүрэлсүх банк дампууруулж казино тоглодог, тэнсэн, хаанаас олсон нь тодорхойгүй 1,4B ₮, ЗЗ ЭЗ бхгүй, С.Эрдэнэ яллагдаж бсан, Хандгайт-Олимп цогцолбор, паркийн арын газрыг, найрамдалын газар гээл муулуул муулышдэ."
neutral,"Ваав янзтай байлаа. 

Дөлгөөн-Аюуш 
Нандин-Эрдэнэ"
negative,"@TovuuBold Эрдэнэ ван гэж боддог ойшоодоггүй байлаа гэтэл үзэл баримтлалдаа үнэнч, нэг фракц гэгдэх Зи тэй хүртэл муудсан, Ж ийн дангаар эзэрхэх хүслийн эсрэг зогссон ардчилалынхан дундаа жинхэнэ эрдэнэ байж"
negative,"""Хичээлдээ  биш чамруу л яардаг байлаа, Сурагч нас минь""... 
Арлааны Эрдэнэ-Очир"
positive,Мундаг шүү энэ хүртэл явлаа. Дөлгөөн-Аюуш ба Нандин-Эрдэнэ амжилт хүсье. #ОдодтойБүжиглэе https://t.co/YtxrWCBqnc
negative,"Тэнэг шүүлт. ДөлгөөнАюуш, Нандин-Эрдэнэ 2 яалт ч үгүй илүү шүү дээ. Би Ангуучтай үзүүр түрүүнд үлдэх байх гэж бодож байсан юмсан. Тун харамсалтай
#ОдодтойБүжиглэе"
negative,Дөлгөөн-Аюуш Нандин-Эрдэнэ хоёр бхгүй энэ шоуг чинь би дахиж үзэхгүй ээ динэг шүүгч.
negative,@batengineer Гүйх нохойд гүйхгүй нохой саад гэгчээр Энхбатад Эрдэнэ шавар хааж бга юмбна. Цагтаа АН чиргүүлтэй явдаг бсан бол одоо АН өөрөө бусдад чиргүүл болж дээ.
positive,Ганцаараа шахуу хэдэн жил алалцсаар бгаад Жонхууг нэр дэвшүүлэхгүй болгодог С.Эрдэнэ  гуайд баярлаж бна оо 💪🏿
