Expression Label,tweets
neutral,Хүрэлсүхийн буутай зураг хаа сайгүй. Зургаарнь таихгүй хүн нь ч таньдаг боллоо. МАНАЙ ЭНХБАТ гуайг ингэж танил болгоочээ 😁😁
negative,"@ganzorigv МАН Түдэв гуайг гаргах гээд элит энэ тэр гэсээр байгаад хүмүүсээс бүр таслаад хаясан юм шиг. Тэгсэн хүмүүс гүндүүгүй сонголт хийсэн. Хүүк энэ аргыг хэрэглээд хээгүй, гүндүүгүй монгол эр хүн гэж харагдах гэж байх шиг. Энхбат гуайг бол Түдэвдэж байна даа"
positive,Энхбат гуай ер нь ер нь гэж ерөнхийлж их ярьдаг тул ерөнхийлөгч болчих байхаа🤣 https://t.co/OPYSnAR8hL
positive,Энхбат бол орчин цагийн элит энтерпрёнер хүн гэх юм.
neutral,Д.Энхбат юуын гэхээс С.Эрдэнэ лав бишшшээээ 🤣😂 https://t.co/LBmsy45IAK
neutral,@ganzorigv Энхбат гуайг хүмүүс дэмжиж бга. Харин чи л илүүдээд бна. Э-г бүр муухай харагдуулаад бна. Юм болгонд үсчиж явдаг хачиг шиг харагдаад бна чи. #НөхөрсөгЗөвлөгөө
negative,"Гэхдээ Энхбат гуайн ярианууд уйтгартай, шинэ юмгүй байгаа нь үнэн шүү. ""Ам нээвэл"" дээр Энхбат 50 минут ярихад 2-3 цагийн юм шиг уйтгартай удаан өнгөрсөн, харин Хүрэлсүхийн 50 минутын яриа бараг 15-20 минут шиг л урсаад өнгөрсөн. ""Элитүүд"" өөрсдөө дүгнэнэ биз"
negative,@batengineer Мэдээж Энхбат.
neutral,"@bayarkuu Хүрэлсүх, Эрдэнэ, Энхбат 3 л лав зайлуулж чадахгүй..."
negative,Энхбат нэр дэвшигчийн дэмжигчид бусад руу дайрч доромжлох нь багасчиж 👍🏼💯
negative,@Aanxaa Уг нь сонгуулийн сурталчилгаа албан ёсоор эхлээгүй биз дээ. Энхбат өөрөө ч гэсэн сурталчилгаа эхлээгүй болохоор ярих сэдэв хязгаарлагдмал гэсэн дээ. Харин Хүүк бол засгаас өгсөн лицензээ буцааж булааж авсанаараа л бахархсан. Үр дүнд нь ГШХО-гүй болсон
negative,"Сонголт алгөө утааг багасгаж, багш нарын цалинг нэмж 3 ээлжийг үгүй болгосонд нь баярлаж найдсан гэтэл яав энэ жилээс өнөө утаа нь дахиад л эхэлсэн. Ардчилсан нам нь хагаралдаад хог шаар. Энхбат нь гарахгүйэээ гараад ч билгэдэлийн чанартай, юм хийж чадахгүй ерөнхийлөгч л бн бх 😔"
positive,"@110Orgio @enkhbat Би бол ямар ч бичлэг гарч ирсэн Д.Энхбат бол яг энэ удаагийн “ийм” нөхцөл байдалд болж буй сонгуульд С.Эрдэнэ, У.Хүрэлсүх нараас “дээр” сонголт бна гэж хувьдаа бодож бгаа. Тийм болохоор л ийм эрт ийм итгэлтэйгээр сонголтоо зарлаад бгаа :)"
negative,@batbayar3113 @badral77 @mungunsukh_o Олон улсын байгуулага өгч болдог болоол өгсөн байгаашд... Би Энхбат гуайн дэмжигч биш зүгээр дүрмийн дагуух бизнесээр нь гүтгэж доромжлохыг хараад сууж чадахгүй л бн...
neutral,@AEnkhtsetseg Цагаан сонголт хэхэ ... болохгүй бол Энхбат гуайд өгсөн нь дээрээ цэргийн хэнээтэн хулхи хуурандаа төрийн хойморт залраад худлаа хуцаж суухыг хармааргүй л байна шүү хэххэ
positive,@AEnkhtsetseg Энхбат гуай ядаж худлаа попрохгүй хүнд хэрэгтэй юм яриад сууна шүү дээ хэхэ 76 үхэрнүүдэд сайн нөлөөлөл үзүүлж чадах байх хэхэхэ жиргээнд залууст нөлөөлдөг шигээ хэххэ
negative,Манай мнчууд нэг нь нэг юм хийгээд дажгүй явчихаар бусад нь дуурайгаад дайраад ордог яг тэрүүгээрээ мн домэйн руу орох гэтэл Apnic дээр тулаад гацсан буруутан нь түрүүлж хийсэн Энхбат гуай 😂😂🤣
negative,"@Munkhsoyol_Econ @GTsognemekh @Mandolinchin Яг одоо энхбат руу ""аймар шуналтай гэнээ"" гэсэн явган тараад буй үүний ерөндөг тактикаа бодох л хэрэгтэй. Дэмжигчдийн ""нүд хуруу"" баг явалт үр дүнгүй бгааг бүгд харж бга. Надад төрсөн бодол бий"
negative,"@Aanxaa Энхбат гуай бол дэндүү бөөрөнхий, гутранги, саарал хүн шүү дай"
negative,@ganzorigv @buyanaa_ts уг нь Энхбат гуай дэвшээгүй бол МАН-д саналаа өгөх байлаа би муухай хүн үү
negative,"Аа үхсс, Энхбат гуайн уйтгартай яриаг нийлж сонирхолтой, хөгжилтэй болгох хүмүүс байна уу? Дэмжиж байна гээд бүр хорлочих ч юм болов уу 🙄 https://t.co/ylbfMx9S5i"
positive,"Энхбат ч дээ...
#ТөлбөртэйЖиргээ"
positive,Энхбат ах маань ч бас байж болох хувилбар мөн шүү гээд нэг жиргээ хийчихэе дараа нь хэрэг болж магадгүй :-))
neutral,"Жиргээ бол санал өгөх насны хүмүүсийн 2% нь л байгаа болов уу. Бусад хувийн дийлэнх нь Хүрэлсүхийг дэмжих магадлал өндөр. Хүрэлсүх, Энхбат нарын дунд бус Хүрэлсүх Эрдэнэ нарын дунд өрсөлдөөн өрнөнө гэж бодож байна. https://t.co/2ytagCbGs2"
negative,@Aanxaa Сонгуулийн сурталчилгаа албан ёсоор эхэлсэн үед ч гэсэн хуулиараа мөрийн хөтөлбөр л ярина. Харин Хүк хийсэн юмаа ярьж байна гээд л давуу эрхтэй оролцоно л доо. Ер нь бол хүч тэнцвэргүй тулаан болно. Сон- дүнгээс 1 л юм харж бно. Энхбат-д хэдэн хувь. МУ-н “Ирээдүй” тэр юм.
neutral,Д.Энхбат шунал бол Монгол түмний хамгийн том сул тал гэдгийг ийнхүү тодоор бичиж өгүүлж байжээ. https://t.co/EnSvnQ8Pdw
negative,"@Aanxaa Энхбат гуай яахавдээ сайн номын эрдэмтэн хүн байна лээ, тэрнээс биш зохион байгуулах, хамт олноо уриалах, манлайлах, хошуучлах ур чадвар, туршлага аль аль нь хомс гэдэг нь илтэд харагдаж байна лээ!"
neutral,@Aanxaa харизм гэж үүнийг хэлээд байгаам. Уул нь Энхбат толгойгоороо илүү илүү боловч...
positive,"Д.Энхбат гуайг сонгоно гэж сэхээтэн болж дээгүүр сэвмээр л байна. Д.Энхбат яг өнөөгийн нөхцөлд гоёдно. Өнөөдөр МАН, ЖАН гэсэн 2 гэмт бүлэглэлтэй алалцах зориг зүрхтэй, шазруун хүн хэрэгтэй. https://t.co/0mZgz14j0U"
negative,@BatmunkhIT Нэг юманд гэнэт их санаа зовчихлоо. Сошиальд Энхбат гэдэг хүнийг л дэмжиж байна. Миний эргэн тойронд ч тийм л байна. Гэтэл Хүрэлсүхийг дэмжигсэд багаас гадна хэдэн араб л байна. Арга ядсан зүйл хийхийг бодоход сонгуулийн дүнг яах гэж л байгаа бол гээд л!!
neutral,"Гэнэт ихээр санаа зовчлоо. Сошиал болон миний эргэн тойронд Энхбат гэдэг хүнийг бодитоор илт дэмжиж байна. Гэтэл Хүрэлсүхийг цөөхөн хүн дэмжихээс гадна эзэн биегүй хаяг, хэдэн арабууд л дэмжих. Сонгуулийн дүнгээр яаж оролдох бол гэсэн айдас. Гараар тоолох бил үү? https://t.co/mFl2bKkdPq"
negative,Энхбат гуайн ретинг унаад эхэлвүү дээ.
negative,@khurtsaa1 @enkhbat Энхбат гуай ийм юм retweet хийж өөрийн гэйтингээ унагаад яахавдээ
positive,@erdenetello Энхбат гуйаг танина. Хамтарч ажиллаж байсан. Хувь хүнийхн зан байдлыг мэднэ. Олон хүний ментор доо
negative,"Д.Энхбат өөрөө энэ талаар юм хэлээгүй тийм санаа огт цухалзуулаагүй байхад ЭЛИТ гэдэг үгээр дарж авах тeхнологи гаргажээ. ""Хужаагийн эрлийз""-н шинэ ХУВИЛБАР.. https://t.co/gnVA0SRWgC"
positive,"Хэсэг хүнтэй уулзлаа ярилаа тандалт хийлээ. Хүүк 60, Эрдэнэ 15, Энхбат 15, цагаан 10 юм байна"
positive,@Tsolmon_999 @Mandolinchin @enkhbat Д. Энхбат нэр дэвшигчийн хандивын дансны мэдээлэл. https://t.co/2yLTdhpcce
negative,"@Aanxaa Ярилцлагуудыг нь харьцуулаад дүгнэхэд Хүрэлсүх прагматик Энхбат идеалист хүн юм шиг санагдсан. Улс орныг төлөөлж явах учраас надад зоригтой, харизмтай хүн нь дээр"
negative,@Aanxaa Үгүйээ  тэгээд хэн нь илүү ЛЛР   хэнийг нь  сонгож өолкуу вэ ... гэдэг  сонголт  л хийнэ.... ЭНХБАТ ШИГ  ЭЗЭН ХАРЬЯАЛАЛГҮЙ  НӨХӨР  ХУТГАН ҮЙМҮҮЛЭХЭЭС  ӨӨР ЯГ ЮУ   ХИЙНЭ ГЭЖ .... ТАНИХГҮЙ БУРХАНААС   ТАНЬДӨГ ЧӨТГӨР   дээр  гэдэг бхшүү...
negative,"@Aanxaa Энхбат гуай бид юуг буруу бас дутуу хийгээд яваад байгааг маш ойлгомжтой, цөөн үгээр хэлж байсан.Бас хэнийг ч нэр цохож муулахгүй, хэнийг ч дөвийлгөхгүй, хэнтэй ч дайсагнаагүй, хэт нэг тал руу хэлбийхгүй бга нь таалагдсан. Би лав гараасай гэж хүсч байгаа"
negative,"Д.Энхбат чинь Идэрээгийн л томруулсан хувилбар шд. Худлаа шаагаа л байна, ямар ч хийсэн ажил шийдэл байхгүй. Угаасаа дургүй, ер нь дэмжих албагүй биз дээ. Лайтайн."
negative,"Энхбат гуайн ярилцлагыг сонсчихлоо. Ийм хүн ерөнхийлөгч болж болно биздээ. Булчинлаг хоосон толгойтой, худлаа том ярьсан саахуу нөхдүүдээс залхаж бна шт. 
---
Хүүкийн ярилцлага нь хаана ямар бдаг юм болдоо 

https://t.co/kn5qIJRRrf"
neutral,Д.Энхбат байгаагүй бол бид нар өдийд интернет ч гүй бүр лаа бариад сууж байх байсан гэчих гээд байх юм. Хэн нэгэн хийх л байсан жам ёсны л юм шд. Шалихгүй сүсэгтэн шүтээнээ алдаг юм шүү.
negative,"@Demberel_S МАН намын троллууд Энхбат захирлыг дэмжиж байгаа дүрээр ""Магтан матчиж""энэ ойлголтыг гаргачихаад, сайдын нөхрөөс эхлээд тэрэн дээр нь багийн тоглолт хийгээд байгаа юмаа🙂 Манай сайн дурын дэмжигчдийн дунд ""Монгол улсын иргэн"" гэдэг ганцхан ангилал бдгийг мэдэгдье👌"
positive,@Davkasuren @Aanxaa Энхбат гуайн дэмжигчид жаахан соёл шаануу итар...😜
negative,"Хүүк бол хүмүүнлэг иргэний нийгэмд ерөнхийлөгч байхад таарахгүй хүн, дипломатч бол бүр биш
Эрдэнэ бол хөгшин хулигаан
Энхбат бол ухаалаг үг л хэлдэг их сургуулийн профессор байхад л таарсан хүн"
negative,Багабанди гуай титэм үг гээчээрээ сургамж айлддаг байв. Энхбат гуай бол Монголын өвчилсөн нийгэмд эмч хүн шиг онош тавьж эмчлэх заавар ярьж байна. Яаж зүйрлэх вэ дээ #гэнээ.
positive,"@MunkhchuluunS Хэхэ, би тэр жиргээг долоолт гэж хараагүй. Миний хувьд Энхбат гэдэг хүнийг асуудлыг томоор харж, шийдэл олох чадвартай, өөрийн гэсэн филисофитой гэж хардаг. Мөн гадаад харилцааны тал дээр ч еөкн %д одоо бгааг тогтвортой авч яваад, цааш хөгжүүлэх потенциалтай гэж боддог."
neutral,"Энхбат гуайн фанатуудын, Хүрэлсүх гуайн уран сайхны баг хамт олны бэлтгэл цөмрөх вийдээ гэж мөхөс би  их л санаа зовох юм. 🙏🏻"
negative,@Aanxaa Энхбат гдг хүн Еөөк байх хүн биш. Гэхдээ Хүүк Алтантуяа 2-оос илүү дээр.
positive,@Erdembayar_ts @NBBatsaikhan Монголд бол энхбат хаваасаг
neutral,11К хүн амтай Tuvalu улс .TV домайн нэр бүртгэлээс жилд 5 сая доллар улсын төсөвт нь ордог. Харин Датакомын  Энхбат  .MN домайн нэрийн бүртгэлээс  МУ төсөвт хэр ихийг өгдөг болоо?
negative,@Battur07 @GGanErdene @Aanxaa Харин тийн. Өөр хэн нэг оруулж ирсэн бол бас л анхдагч байна. Энхбат Хүрэлбат ялгаагүй. Анхдагч бүтээгчийг л би дэмжээд байгаа. Худлаа яригч хударгаар завшигч улстөрчдөас жаахан залхаад л уншдаг иргэнг сонгох гэсийн
neutral,Энхбат гуайг дэмжих :) https://t.co/bwhIR7YIuN
neutral,@erdenetello Энхбат Монголд интернет оруулж ирж дэлхийг ойртуулсан одоо Монголыг дэлхийд ойртуулах ээлж нь.
negative,"Энхбат маань яагаад элит, сэхээтэн биш болчхов? Угаасаа дэмжигчдийн ихэнх нь ""орк биш"" гэдэг үндэслэлээр бас сэхээтнийг сонгосон гэдэг validation авах гэж дэмжиж бга биздэ? Мань хүнд ч угаасаа үүнээс өөр бүрдүүлээд бх имиж бхгүй юм чинь энэ тодорхойлолтоос зугтах шаардлага бн уу?"
negative,"Би хөдөөнийх. Элит бтугай Э үсэг ч аахгүү хэрнээ Д.Энхбат ахтай форум нэвтрүүлэгт хамт ажиллаж блаа.Лав л чи элит биш, чамтай ажиллку гэж бгаагүй 😜 Тиймээс Энхбатыг элитүүд дэмжинэ гэдэг бол бусдын дургүй хүргэж хорлож бгаа хэрэг. “Пакистан” зүрх шиг өрсөлдөгчдийнх нь үйлдэл бх"
negative,Уучлаарай ХҮН ба жАН-ыхаан 😁 танай нэр дэвшигчийг илжигтэй зүйрлэж байгаа нь тэнэг гэсэндээ бишшүү 🙄 яг одоогийн нөхцөл байдалд энэ их ойртохоор зураглал байсан шүү. Тэмээ нь мэдээж Хүүк илжиг нь Энхбат 😝 https://t.co/aSci746Gfo
neutral,Элит байж болохоо больсон хорвоо юу. Энхбат гуай элит л байг л дээ. Элит хүн ерөнхийлөгч болог л дээ юу нь болохгүй байгаан лол.
neutral,"@AmarmendD Энхбат, Түшиг, Батчимэг, Эрдэмээ, Чи, Би, Нямка дугуй олчих блгүй , Баянааг уруу татаж болно👍"
neutral,"Бараг л үнэн дээ.
Гадныханд ашигтай, байгальд халтай орд олборлохыг зогсооё, хориг тавиач гвл Энхбат чинь эдийн засаг нь чухал гд сууж бх нөхөр шүү.
Ерөнхийлөгч гсн алдар хүндэд л болж байгаа тэр Энхбат чинь.
Зүгээр нэг гадаад хэлтэй мануухай хэрэггүй, эх оронч хүн хэрэгтэй бн. https://t.co/JE66Uprf2r"
neutral,"Энхбат гуайг Идэрээгийн хөгшин хувилбар гэнээ. Тэгвэл Хүүк гуайг Үнэн ба зөв намын Отгонбаатар даргын хөгшин хувилбар гэнэ. Идэрээ нь хажууд нь фаро, колпро, хиппокарт, комедиклаб нтр гээд өчнөөн хийсэн юмтай олон хүн ажиллуулж татвар төлсөн, олон хүнд мэдээлэл мэдлэг олгосон. https://t.co/Ii4WF82ulO"
neutral,"МАН-хан Элит, сэхээтэн гэх мэтийг  дахиж ярихааргүй болтол сэвж Хүрэлсүхийн боловсрол, мэдлэгийн дутагдалтай талыг бүдэгрүүлж өөртөө ардын хүү нтр гээд нэр өгөөд энэ Энхбат чинь феодал маягийн шүү гэсэн ойлголт өгөх гээд л яваад бх шиг. Насаараа нам дагаж сайд, майд хийчихээд. Кк"
neutral,"@BatmunkhIT Хаха. Энхбат, Эрдэнэ 2-ыг муулсныг нь сийндчихээд энэ хүн дээр л өрөвдмөөр байгаа биз?🤣🤣🤣"
negative,"Д.Энхбат ах УБ-д бол хүчтэй өрсөлдөгч байх магадлалтай, Харин орон нутагт бол Хүүкийн хүчтэй өрсөлдөгч биш бхө. Тэрний жижиг дүр зураг нь ФБ-д тэр хоёрын ярилцлагын хандалт..."
negative,"Санал нэг, хэн нь хор хөнөөл багатай вэ гэвэл яалт ч үгүй Энхбат гуай л бх даа😬 https://t.co/sg1GCf4Sfd"
neutral,"@bayarkuu 1т. Улс нэг тойрог. Хэдэн аймагт ялах гэдгээс илүү улс даяараа ялах нь чухал. 
2т. Женко эхний шатанд тэгсэн. 2 шатанд бол ялсан нь хавьгүй олон байх шүү. Нөгөө талаасаа Женко ялагдсан газраа ч цөөхөн саналаар ялагдсан учраас л ялсан
3т. Энхбат бол хүчтэй удирдагч бол биш.. хэцүү"
negative,"Хүрэлсүх: Би чинь муу ч гэсэн хурандаа хүн ш тээ.
Эрдэнэ: Та нар бүгдээрээ гөлөг болно за юу
Энхбат: Удирдагчид бүү найд

Яг яах ч ёстой юм одоо."
negative,Энхбат нэр дэвшигч мөнгө цацахгүй байгаамаа даа
neutral,"@Dandag_5004 Ийм хогийн юм хум хийдэггүй байгаа шүү. Хийх ч гүй. Цочоотой бгааг чинь ойлгожийнэ. Энхбат энхбат гэж цочсон л улсууд, одоо тайвшираа 🙂"
positive,@TKhangerel @baanjiiii Энхбат гуайн эхнэр шиг гоё юм биш үү..би лав дуртай бн🤩
negative,"Д.Энхбат нэр дэвшихээр яригдаж байхад түүнийг шүүмжилж байсан өрсөлдөгч намын зарим хүмүүс “энхбат чадахгүйэ, хөдөөд хүн танихгүй” бла3 гэж бв. Одоо тэгсэн нөгөөдүүл чинь энхбатын дэмжигчид өөрсдийгөө элит гэлээ гш. Өөрөө өөрсөнтэйгөө л хэрэлдээд явахын чааваас. Аргумент ч болдо."
negative,"@GGanErdene би ч гэсэн энхбатыг нээх дэмжээд сүйд болдоггүй.Нэг л их цэцэрхсэн, залуучуудаа элдвээр доромжилсон л хүн байдаг.Гэхдээ үүнээс өөр олигтой сонголт үнэндээ л алга байна.Аргаа бараад л энхбат гуайг дэмжиж байна."
neutral,"Энхбат элит. Тиймээс түүнийг элитүүд дэмжинэ. Та элит биш бол хол бай гэсийм байна. Холхон байя өөөө
:-)"
negative,"@batengineer Энхбат хаана шатаад юу хийгээд, юуг гийгүүлчихсэн юм бэ, хэлээд өгөөч. Монголд шударга бус юм хэдэн мянгаараа болж байхад миний мэдэхийн Америкаас л ингэх хэрэгтэй, тэнд хэрэгтэй гээд сууж байсан."
positive,@artanyan Энхбат Монголд интернет оруулж ирж дэлхийг ойртуулсан одоо Монголыг дэлхийд ойртуулах ээлж нь.
negative,"Энхбат гуайг сонгохгүй байх шалтгаан:
1. Политикал лидер биш
2. Бээжин, Москватай вайб таарахгүй 
3. Технократ улс төрч нь төрийн тэргүүн гэхээсээ, салбар хариуцан ЗГт сайд хийх нь тохиромжтой https://t.co/f9AzynNa1a"
neutral,"Д.Энхбат ураныг эсэргүүцдэг, уул уурхай биш тийм ийм юм хөгжүүлээд бла бла гэсэн агаарын юм яридаг. Дургүй байх хангалттай шалтгаан."
negative,Хүрэлсүх бүр Энхбат ч гэж хэлээгүй байна 😂😂😂 https://t.co/l3lcX1MvaW
negative,@UvsUvsu Энхбат хэлснийг харсымуу
negative,"Энхбат ярьдаг юу хийсийм гээд байгаа хүмүүсээс асууя

Хүрэлсүх юу хийсэн юм? 

Эрдэнэ юу хийсэн юм?"
negative,"@enkhorg41217149 @GGanErdene Энхбат гуайг сонгохгүй байх шалтгаан:
1. Политикал лидер биш
2. Бээжин, Москватай вайб таарахгүй 
3. Технократ улс төрч нь төрийн тэргүүн гэхээсээ, салбар хариуцан ЗГт сайд хийх нь тохиромжтой"
negative,@Undram Энхбат “юм хийх ёстой албан тушаал”-д хамгийн сүүлд хэдэн онд бсан юм? 😆
negative,"Энхбат ах гэхдээ Элбэгдоржийн зөвлөх байхдаа, УИХ-ын юу хийсэн юмбээ? Зүгээр л асуулт шүү. Би одоо айж байна ХҮН-ээс :-))"
neutral,"Бодох, сэтгэх за тэгээд дүн шинжилгээ хийнэ гэдэг хамгийн хэцүү ажил шүү дээ. Энхбат гуайн хамгийн сайн хийдэг ажил нь энэ."
neutral,Хан акедамийг Монголд нэвтрүүлсэн нь Энхбат гуайн том гавьяа шүү.
neutral,"Энэ гэхдээ үнэн шүү, хэн нэгэн нээх удалгүй хийх л байсан. Гэхдээ тухайн цаг хугацаандаа урьдаж хийсэн нь Д.Энхбат юм. Юмыг хэтрүүлэх хэрэггүй, магтаалд бас хязгаар бий! https://t.co/dYXV9lsRd5"
negative,"@vgnsr410 Элитийн асуудал Д.Энхбат гуайтай, гэгээнтэн нь нөгөө ламтай холбоотой л юм шиг бн"
positive,Миний сонголт #Энхбат https://t.co/Axi8itXsJs
negative,"@artanyan Энхбат гуайг сонгохгүй байх шалтгаан:
1. Политикал лидер биш
2. Бээжин, Москватай вайб таарахгүй 
3. Технократ улс төрч нь төрийн тэргүүн гэхээсээ, салбар хариуцан ЗГт сайд хийх нь тохиромжтой"
negative,@GGanErdene Нөгөө 2нь юу хийсийн бас. Энхбат ядаж л хөрөнгөө яаж олсноо тайлбарлаж чадаж бгаа хүнлдээ
positive,Эрдэнэбилэгийн Энхбат маань гайгүй байгаасай🙏🙏🙏
positive,"Манай Уралд төгсөгчдөөс Дангаасүрэнгийн ЭНХБАТ  Монгол улсын Ерөнхийлөгчийн сонгуульд нэр дэвшин өрсөлдөхөөр болж ""Д.Энхбатыг ерөнхийлөгчийн сонгуульд дэмжих Уралдтөгсөгчид"" групп албан ёсоор нээлтээ хийж, хуралдав.Та бүхэн шинэ группдээ нэгдэн Д.Энхбат төгсөгчөө дэмжихийг хүсье. https://t.co/QqMcH5GRNi"
positive,"Энхбат гуайг улстөрч бсныг санахгүй бна, харин сайн сошиалчин бол мөн бх"
negative,"Хүүкийн пакистан троллууд зовж бга бололтой Энхбат гуайг доош нь хийх сэдэв хайгаад2 ухаад2 олдохгүй арга ядахдаа ""Элит"" хэтэрхий боловсролтой гэж дайралт хийж суугаа юм бн😂🤣
Анкана манкана тэргүүтэй жиргээний троллууд ёстой кэцүүяа юу ч гэмээр юмбдээ😂🤮
#NoHook 
#NoMAN https://t.co/SOyMG6mlz9"
neutral,"Тэр Энхбат чинь тийм л мундаг, лаг хүн юм бол тэгээд сонгогдох л байлгүй дээ. Залхтал бичих юм лайтай ш***сссс"
positive,"@BatmunkhIT Хүрэлсүх, Эрдэнэ нарыг сайн юм хийснийг санахгүй бна. Харин улсаас сайн идсэн бх. Тэр 2ыг сонговол баталгаатай алдана, Энхбат гуайг сонговол алдаж ч оноч ч магадгүй лав л баталгаатай алдахгүй"
negative,@Aanxaa Хэн хаана хэзээ Энхбатыг элит гэчихсэн юм бэ? Бас уул уурхайг зогсоо гэж Энхбат хэлсэн үү?
neutral,Волфенсон гуайд маш өндөр сэтгэгдэл Энхбат гуай төрүүлсэн байдаг. Монголын хувийн хэвшлийг дэмжих хэдэн төслийг Волфенсон дэмжиж билээ
negative,@amarsanaa Яааагшд. Луйвардаж бж ялна. Увсын 50иас доош насныхан бүгд Д.Энхбат нь дээр гэсэн судалгаа гарчиж!
neutral,@Zolboot_T Энхбат олон юм бн https://t.co/sitit71Ri2
neutral,@amarsanaa @Laperleperle Хаха Амарсанаа танай Увсын 50-с доош насныхан дунд Д.Энхбат гэж хүнийг мэддэг 1000 хүн байгаа юу
negative,@ODELelectronics Бүгд л тэр үед наймаагаа хийж байсан. Интернетийг оруулж ирэх боломж байсан ч хэн ч хийгээгүй. Энхбат л хийсэн.
positive,@GGanErdene Ган-Эрдэнэ ээ - Алтанхуяг гишүүнийг дэмжээд шатаад байгааг чинь харж байна. Үерхэлдээ үнэнч байгааг чинь ч үнэлж байна. Гэхдээ Идрээ @Iderodcomedian ч Энхбат доктор @enkhbat ч хоёулаа хийсэн бүтээсэн бодит ажилтай хүмүүс. Цаашдаа ч улам ихийг хийнэ гэж харж байна.
negative,@ODELelectronics Хөмөрсөн тогоон доторх Монголыг хөгжлийн цоо шинэ тавцанд хүргэсэн Агуу их ачтанаа юу бүтээсэн юм хэмээн асуугсад  бол өөрсдөө харанхуй нүхэнд амьдарч хагд өвс идэгсэд буюу 😂 Интернэтийн эринг  Монголд Энхбат бүтээсэн юм гэж хэлбэл тэд нар сайн ойлгох болуу
positive,Ерөнхийлөгчид нэр дэвшигч Н.Дангаасүрэнгийн ЭНХБАТ гэж хэн бэ ~ https://t.co/EcFjj61O36
negative,"Д.Энхбат: Удирдагчдынх нь их шунал, ард иргэдийнх нь халамжаар амьдрах их хүсэл бол Монголын доройтлын гол шалтгаан. 
Байгаль, баялаг хараадаггүй."
neutral,"Д.Энхбат долдугаар сарын 1-ний үймээнийг өдөөн турхирагчдын нэг гэж буруутгагддаг. Гэвч тэрээр УИХ-ын гишүүний бүрэн эрхээсээ татгалзаж, огцроход бэлэн байгаагаа илэрхийлж байсан удаатай. https://t.co/vzi8u8CsTT"
negative,"@GGanErdene Идэрээ-Калл про, Hippocards, Англи хэлний сургалтын төв
Энхбат-Датаком, Нээлттэй мэдлэг боловсролын сан, Бизнес 2.0, Бизнес.мн, Хархорум Дижитал.
Аль аль нь Хүүк шиг улсын төсвөөр казинодож бгаагүй болохоор хийсэн юм нь жул харагдаж магад. Гэхдээ бизнесгүй 1.7 тэрбумтнууд лав биш"
negative,"Хэлээд л байгаа шүү Хүрэлсүх ялах аваас дарангуйлал тогтоно шүү. Эрдэнээ ч олигтой сонголт биш, Энхбат ялахгүй. Тэгэхээр цагаан сонголт хийж шинэ нэр дэвшигчтэй сонгууль хийе ! https://t.co/TFPOyQziq9"
neutral,@ODELelectronics @bayamongol Гэхдээ мөнгөтэй л хүмүүс маш их болсон байсан. 1993-1994-1995 онд Японд ирж байсан монголчууд үнэхээр баяжчихсан хүмүүс ирдэг байсан. Гол нь Энхбат хийсэнд байгаа юм.
neutral,"@ODELelectronics @bayamongol 1991 оны 11 сард би интернеттэй учирч хэрэглэж үзэж байсан. Гэхдээ интернетийг Орос битгий хэл болгарт электронникоор сурч байсан оюутан хүртэл огт мэддэггүй байсан. Ямар ч л байсан Дангаасүрэнгийн Энхбат анхдагч, загалмайлсан эцэг нь мөн."
negative,@ODELelectronics Энхбат байгаагүй бол интернет гэдэг юмыг монгол улс одоо ч мэдэхгүй мэлийгээд сууж байх байсан даа.
negative,Энхбат гуайн троллчид Хүүкийг ниалж рекламдахаа больмоор бна аа. Зүгээр Энхбат гуайн зургаар сошиалыг будаад өгчих тэгэх үү? Хүмүүсийн мэдэхгүй өнцгийг таниулаад явбал яасан юм? Тэр нь илүү үр дүнтэй шүү.
positive,"Д.Энхбат доктор маань урт үстэй загварлаг залуу байж ээ, залуус аа! https://t.co/tO1NteZr5I"
positive,Энхбат гуай жиргээнийхнийг сайхан эргүүлээд дагачдаг наа захын юм бх ёстойдоо !ямар хэний ч танихгүй мань бгаа биш маяг нь дэндээд бгаам шигл санагддаг бас таалагдадгүй!
negative,"Юм үзэж цаг хугацааг элээсэн аав эсвэл өөрийн алдаж онох амьдралыг дэнсэлцэн ойлгосон буурьтай , цаанаа л юм үзэж нүд тайлсан саааааайхан эр бдагдаа! Гэтэл дефавто бас энхбат гуай 2 ярих нь айглах нь хүртэл худ шүү тиймээс би дэмжидгүйээ!"
negative,Ерөнхийлөгчид нэр дэвшигч Н.Дангаасүрэнгийн ЭНХБАТ гэж хэн бэ https://t.co/WLTc3Jkj0A
positive,"Идэрээ, Энхбат гуай 2-н төлсөн татвар, эдийн засаг нийгэмд оруулсан хувь нэмэртэй нь дүйцэх зүйл хийсэн улс төрч Монголд одоохондоо тун ховор бн. Интернэт холбоо улс орны эдийн засгийг дор хаяж 10% өсгөдөг. Англи хэл хүний амьдралын чанарыг 10% дээшлүүлдэг. Харин чи юу хийв? https://t.co/A1fp48P3zc"
positive,Энхбат ч дээ.....
neutral,Хүмүүс дэмжсэн эсэргүүцсэн үзэл бодолоо жиргээн доор бичиж л байдаг би лав блоклодоггүй. Тэдний ачаар би өдий зэрэгт хүрсэн бас тэд үнэгүй маркетинг хийж өгдөг Энхбат ах блоклож байгаа бол мэдрэмжгүй байнадаа.
